rank,name,speed,spin,control,tackiness,weight,hardness,gears,throw_angle,consistency,durable,overall,ratings,price
81,Butterfly Tenergy 25,9.2,9.1,8.8,2.5,6.8,6.7,8.6,4.3,10.0,8.2,9.3,75,65.0
82,Nittaku Hurricane Pro III Turbo Blue,8.8,9.5,8.8,8.5,8.5,9.4,9.4,5.5,8.5,8.0,9.3,28,45.0
83,Tibhar Quantum S,8.8,9.4,9.2,1.8,3.7,4.6,9.3,3.8,9.6,9.0,9.3,13,62.0
84,Andro Rasanter R47,9.4,9.3,8.9,1.8,5.6,6.5,8.8,5.9,9.4,7.6,9.3,92,41.0
85,Stiga Magna TX,9.1,9.3,8.8,2.9,3.4,6.2,8.0,4.6,10.0,9.1,9.3,16,55.0
86,Xiom Omega IV Pro,9.3,9.2,8.8,2.4,5.5,6.8,8.8,4.8,9.4,8.5,9.3,83,60.0
87,TSP Regalis Blue,9.3,9.5,9.4,2.1,4.3,5.6,9.3,5.5,9.3,8.2,9.3,20,42.0
88,Victas VS > 402 Double Extra,8.8,9.4,9.4,1.2,6.5,6.6,8.8,5.5,10.0,8.1,9.3,17,35.0
89,JOOLA Dynaryz ZGR,8.9,9.5,9.2,6.5,6.3,9.6,8.3,6.2,8.7,7.7,9.3,18,59.0
90,Andro Rasanter R48,8.9,9.4,8.9,1.9,5.4,6.6,8.0,5.9,8.2,7.5,9.3,50,65.0
91,Butterfly Tenergy 19,9.0,9.3,9.2,1.7,4.5,6.1,8.1,5.9,9.4,7.8,9.3,29,65.0
92,Nittaku Goriki Kaisoku,9.4,9.1,9.1,1.6,5.6,6.0,8.3,4.4,10.0,9.0,9.3,13,38.0
93,Gewo Nexxus EL Pro 43,9.0,9.3,9.3,1.0,3.6,4.6,8.4,6.1,8.7,7.8,9.3,23,45.0
94,Butterfly Tenergy 64,9.3,8.8,8.5,2.5,5.5,5.1,8.5,5.4,9.2,8.0,9.3,173,60.0
95,DHS Gold Arc 3,8.8,9.1,9.2,5.1,5.5,6.5,9.3,5.5,9.2,8.7,9.3,17,39.0
96,Donic Acuda Blue P1,9.3,9.2,8.9,2.6,5.2,6.0,8.6,5.6,9.2,7.2,9.3,26,44.0
97,Gewo Hype KR Pro 47.5,9.3,9.4,9.1,2.2,5.2,6.7,7.0,4.5,8.8,6.6,9.3,23,30.0
